"keyterm";"count"
"ELECTRODERMAL-RESPONSES";15
"ELICIT";15
"ESTIMATION";15
"FEATURE";15
"FEEDBACK-RELATED-NEGATIVITY";15
"FUNCTIONAL-CONNECTIVITY";15
"FUNCTIONING";15
"INDIVIDUAL";15
"INHIBITORY-CONTROL";15
"INITIAL";15
"INTEROCEPTIVE";15
"LATE-POSITIVE-POTENTIAL";15
"OBJECT";15
"PRESSURE";15
"PSYCHOPHYSIOLOGICAL-RESPONSES";15
"REFLECTED";15
"SELF-REPORT";15
"SEX";15
"SHIFTS";15
"STARTLE-MODULATION";15
"SUPPORT";15
"SYSTEMATIC-REVIEW";15
"TRACKING";15
"VARIATION";15
"VIGILANCE";15
"VISUAL-ATTENTION";15
"VOLUME";15
"VOLUNTARY-CONTROL";15
"ALCOHOL";14
"APPROACHES";14
"ARTIFACT";14
"ASSESSING";14
"ASYMMETRIES";14
"ATTENTIONAL-CAPTURE";14
"AVOIDANCE";14
"CARDIAC-RESPONSE";14
"CENTRAL";14
"CLINICAL";14
"COGNITIVE-PERFORMANCE";14
"COMMON";14
"CONSISTENCY";14
"CURRENT";14
"DELTA";14
"DISEASE";14
"DYSFUNCTION";14
"DYSPNEA";14
"EMOTION-REGULATION";14
"ERROR-PROCESSING";14
"FEAR-CONDITIONING";14
"FEARFUL";14
"FMRI";14
"FUNCTIONS";14
"HEART-PERIOD";14
"HISTORY";14
"IDENTIFICATION";14
"LATERALIZED";14
"MARKER";14
"MEASURED";14
"MODULATIONS";14
"MOVEMENTS";14
"ONSET";14
"PARIETAL";14
"PASSIVE";14
"PEAK";14
"PSYCHOPATHOLOGY";14
"REPLICATION";14
"RESPONSE-INHIBITION";14
"SCALP";14
"SELF-REPORTED";14
"SENTENCE";14
"SOURCE";14
"TEMPORAL-DYNAMICS";14
"TIMING";14
"3";13
"ACOUSTIC-STARTLE";13
"ADULT";13
"AEROBIC-EXERCISE";13
"ALPHA-POWER";13
"APPETITIVE";13
"ATTENTIONAL-BLINK";13
"BOYS";13
"CONTINGENT-NEGATIVE-VARIATION";13
"COUPLING";13
"DISTRIBUTION";13
"ELECTROENCEPHALOGRAPHIC";13
"EVENT-RELATED-BRAIN-POTENTIAL";13
"HEART-RATE-REACTIVITY";13
"HYPOTHESIS";13
"INCREASING";13
"IRRELEVANT";13
"LATERALIZED-READINESS-POTENTIAL";13
"LONGITUDINAL";13
"LOWER";13
"MALES";13
"MEASUREMENTS";13
"MODERATE";13
"MUSCLE-TENSION";13
"PROLONGED";13
"PULSE-TRANSIT-TIME";13
"REACTION";13
"RELATIONS";13
"RELATIVE";13
"SCHIZOPHRENIC";13
"SCORING";13
"SEARCH";13
"SEQUENCE";13
"SHORT-TERM";13
"SLEEP-DEPRIVATION";13
"STRESSORS";13
"STROOP";13
"STRUCTURE";13
"TAKING";13
"TASK-SWITCHING";13
"TEMPORAL-STABILITY";13
"TEST-RETEST-RELIABILITY";13
"TONES";13
"TRIAL";13
"ACTIONS";12
"ADAPTATION";12
"AGE-RELATED";12
"ALTERED";12
"ASPECTS";12
"BAND";12
"BASELINE";12
"BLINK-REFLEX";12
"CHANGE-DETECTION";12
"CNV";12
"COMBINED";12
"CONTENT";12
"CONTEXTS";12
"CUE";12
"DEPENDENCE";12
"DETECTING";12
"DISORDERS";12
"ELECTROPHYSIOLOGICAL-STUDY";12
"EMOTIONAL-PROCESSING";12
"EVOKED-RESPONSE";12
"EXTERNAL";12
"EYE-MOVEMENT";12
"FACIAL-EXPRESSIONS";12
"FITNESS";12
"FOOD";12
"FORCE";12
"GAIN";12
"HAND";12
"INTERPERSONAL";12
"KNOWLEDGE";12
"LOCUS";12
"MEANING";12
"MILD";12
"MIND";12
"MISMATCH";12
"MUSCULAR";12
"MUSICAL";12
"NEURAL-RESPONSES";12
"PARAMETERS";12
"PHYSIOLOGICAL-RESPONSES";12
"PITCH";12
"PREDICTORS";12
"PREFRONTAL-CORTEX";12
"PRODUCTION";12
"PROPERTIES";12
"PTSD";12
"PUPILLOMETRY";12
"RATS";12
"REFLECT";12
"REPRESENTATIONS";12
"REST";12
"RESTING-STATE";12
"REVEALS";12
"REWARD-POSITIVITY";12
"RHYTHM";12
"SCHIZOPHRENIA-PATIENTS";12
"SEMANTIC-PRIMING";12
"SPECTRAL";12
"STAGE";12
"TACTILE";12
"TIME-FREQUENCY";12
"TOP-DOWN";12
"TWINS";12
"TYPE-B";12
"TYPES";12
"UNDERLYING";12
"VAGAL";12
"VARIABLES";12
"VASOMOTOR";12
"1";11
"ABNORMAL";11
"AEROBIC-FITNESS";11
"ATTENTIONAL-CONTROL";11
"AUTONOMIC-RESPONSES";11
"BEHAVIORAL-RESPONSES";11
"CEREBRAL-BLOOD-FLOW";11
"CLASSICAL";11
"COLD-PRESSOR";11
"CONSTANT";11
"CONTRIBUTION";11
"DECISION-MAKING";11
"DIFFICULTY";11
"DIMENSIONS";11
"EEG-ALPHA";11
"EFFICIENCY";11
"EMPATHY";11
"ERROR-MONITORING";11
"ESTIMATES";11
"EXCITABILITY";11
"EYE-MOVEMENTS";11
"FACILITATES";11
"FEEDBACK-PROCESSING";11
"FILTERING";11
"GENERALIZATION";11
"GUIDELINES";11
"HEARTBEAT";11
"HEMISPHERIC";11
"HUMAN-BRAIN";11
"IMAGES";11
"IMAGING";11
"INDEXED";11
"INDICATOR";11
"INDICATORS";11
"LATERALIZATION";11
"LEARNED";11
"LENGTH";11
"LEXICAL";11
"MAGNETIC";11
"MAJOR-DEPRESSIVE-DISORDER";11
"MALE";11
"MENSTRUAL-CYCLE";11
"MUSCLE";11
"NOCICEPTIVE";11
"P3B";11
"PEOPLE";11
"PHONOLOGICAL";11
"PREDICTION";11
"PROBE";11
"PROBING";11
"PUPIL";11
"RAT";11
"RECOGNITION-MEMORY";11
"REINFORCEMENT";11
"RELAXATION";11
"REPETITION-PRIMING";11
"RESULTS";11
"REVISITED";11
"SET";11
"SMOKING";11
"SPECTRUM";11
"STAGES";11
"STATISTICAL";11
"STIMULUS-MODALITY";11
"SURFACE";11
"SYSTEMS";11
"TEMPERATURE";11
"TESTS";11
"TRAIT-ANXIETY";11
"TRAITS";11
"TYPE-A";11
"VARIANCE";11
"WAKEFULNESS";11
"WITHDRAWAL";11
"ABSTRACT";10
"AFFECTIVE-MODULATION";10
"ALTERS";10
"ATTENUATION";10
"AUDITORY-SELECTIVE-ATTENTION";10
"AVERAGED";10
"BARORECEPTOR";10
"BASIS";10
"BEAT";10
"BIOLOGICAL";10
"BRAIN-RESPONSES";10
"CLASSIFICATION";10
"COMPETITION";10
"CONCEPTUAL";10
"CONTRALATERAL";10
"CONTROLS";10
"CRITERIA";10
"DECOMPOSITION";10
"DEFICIT";10
"DEPRESSIVE-SYMPTOMS";10
"DEPRIVATION";10
"DESYNCHRONIZATION";10
"DETERMINANTS";10
"DIFFERENTIATION";10
"DISHABITUATION";10
"DISTRACTORS";10
"DOMAIN";10
"EEG-POWER";10
"ELECTRODERMAL-LABILITY";10
"ELECTRODES";10
"ENGAGEMENT";10
"ENHANCEMENT";10
"ENVIRONMENT";10
"ERROR-RELATED-BRAIN-ACTIVITY";10
"EVALUATIVE";10
"EVENT";10
"EXAMINATION";10
"EXPECTATIONS";10
"EXPRESSION";10
"FAST";10
"FINGER";10
"FRONTAL-EEG-ASYMMETRY";10
"GAMBLING";10
"GAME";10
"GATING";10
"GONO-GO-TASK";10
"HEART-RATE-RESPONSES";10
"HEMISPHERE";10
"IMPEDANCE";10
"IMPEDANCE-CARDIOGRAPHY";10
"INFANT";10
"INHIBITORY";10
"INVESTIGATING";10
"LATENT";10
"LIGHT";10
"MATERNAL";10
"MEDIATES";10
"MEMORY-LOAD";10
"MENTAL-ROTATION";10
"MOTION";10
"NATURAL";10
"NEURAL-RESPONSE";10
"NORMAL-SUBJECTS";10
"NOXIOUS";10
"PARENTAL-HISTORY";10
"PATTERN";10
"PHOBIC";10
"PHYSIOLOGY";10
"POSTTRAUMATIC-STRESS-DISORDER";10
"PREDICTABILITY";10
"PROCEDURE";10
"PUPILLARY";10
"QUANTIFICATION";10
"RACE";10
"RATINGS";10
"RECALL";10
"REFERENCE";10
"RELATIVES";10
"REPEATED";10
"RESPONSIVENESS";10
"SELF-CONTROL";10
"SEQUENTIAL";10
"SIGNATURES";10
"SIMILARITY";10
"SINGLE-TRIAL";10
"SLEEP-LOSS";10
"SOMATIC";10
"SOURCES";10
"SYNCHRONY";10
"TARGETS";10
"TOPOGRAPHY";10
"TOTAL";10
"UNDERSTANDING";10
"UNPREDICTABLE";10
"VASCULAR";10
"VIEWING";10
"WHITE-MATTER";10
"ABSENCE";9
"ACTIVE-COPING";9
"ADAPTIVE";9
"ADHD";9
"ADJUSTMENTS";9
"AGGRESSION";9
"AMYGDALA";9
"APPLIED";9
"ASSOCIATIVE";9
"ATTENTION-DEFICIT-HYPERACTIVITY-DISORDER";9
"ATTENTIONAL-BIAS";9
"AUTONOMIC-ACTIVITY";9
"AVERAGE";9
"BACKGROUND";9
"BLUNTED";9
"BRAIN-POTENTIAL";9
"CHILDRENS";9
"CHINESE";9
"COHERENCE";9
"CONTRIBUTIONS";9
"CORRELATION";9
"COVERT";9
"CUED";9
"DEVIANCE";9
"DEVIANT";9
"DIFFERENTIALLY";9
"DISCRETE";9
"DONT";9
"EEG-ASYMMETRY";9
"ELECTRODERMAL-ORIENTING-RESPONSE";9
"ELECTRODERMAL-RESPONSE";9
"ERN";9
"ERP-INVESTIGATION";9
"EVALUATING";9
"EVENT-RELATED-POTENTIAL-CORRELATES";9
"EXAMINING";9
"EXTENDED";9
"EXTENSION";9
"EYE-TRACKING";9
"FACTOR";9
"FREQUENCY-DOMAIN";9
"FRONTALIS";9
"FUTURE";9
"HEART-PERIOD-VARIABILITY";9
"HEARTBEAT-DETECTION";9
"HOSTILITY";9
"IMPAIRS";9
"INSTRUCTED";9
"INTERNAL-CONSISTENCY";9
"INTERPLAY";9
"LIFE";9
"LINKS";9
"LOCALIZATION";9
"LOCATION";9
"LOCATIONS";9
"MEDITATION";9
"MIDDLE-AGED";9
"MOTOR-CORTEX";9
"NEWBORN";9
"OBJECTIVE";9
"OBJECTS";9
"OBSESSIVE-COMPULSIVE-DISORDER";9
"OCULOMOTOR";9
"OXYTOCIN";9
"PACED";9
"PATTERNING";9
"PERCEIVED-EXERTION";9
"POSTURE";9
"PREPULSE";9
"PROACTIVE";9
"PROCESS";9
"PSYCHOMETRIC";9
"PSYCHOPHYSIOLOGICAL-RESEARCH";9
"PUNISHMENT";9
"PUPILLARY-RESPONSES";9
"QUALITY";9
"REACTION-TIME-TASK";9
"REGIONAL";9
"RELIABLE";9
"REPLY";9
"RESISTANCE";9
"REWARDS";9
"RSA";9
"SACCADIC";9
"SALIENCE";9
"SALIVARY";9
"SCORES";9
"SEMANTIC-PROCESSING";9
"SENSITIVE";9
"SENSORY-GATING";9
"SEQUENCES";9
"SHORT-TERM-MEMORY";9
"STIMULUS-PRECEDING-NEGATIVITY";9
"STIMULUS-RESPONSE";9
"STRESSOR";9
"STRUCTURAL";9
"SYSTOLIC";9
"TASK-PERFORMANCE";9
"TIMES";9
"TRANSIENT";9
"TREATMENT";9
"TYPE-A-BEHAVIOR";9
"UNEXPECTED";9
"UTILITY";9
"VISUALLY";9
"VISUOSPATIAL";9
"WAVEFORMS";9
"WORD-REPETITION";9
"40";8
"ACCOUNT";8
"ADULTHOOD";8
"AFFECTIVE-PICTURES";8
"ALTERNATIVE";8
"ANIMAL";8
"ANTISACCADE";8
"ARTERIAL";8
"ASSOCIATIVE-LEARNING";8
"ATTACHMENT";8
"ATTENDED";8
"ATTENUATED";8
"AUTOMATED";8
"BACKWARD-MASKING";8
"BAROREFLEX";8
"BEHAVIORS";8
"BETA";8
"BLACK";8
"BLOOD-FLOW";8
"BRADYCARDIA";8
"CARDIAC-ACTIVITY";8
"CARDIAC-CYCLE";8
"CARDIAC-RESPONSES";8
"CARDIOVASCULAR-ACTIVITY";8
"CARDIOVASCULAR-EFFECTS";8
"CARDIOVASCULAR-REACTIONS";8
"CIRCADIAN";8
"COMMUNITY";8
"COMPUTER";8
"CONDITIONAL";8
"CONFLICT-ADAPTATION";8
"CONSIDERATIONS";8
"CONTINGENCY";8
"CONTRAST";8
"CORRELATE";8
"DAYTIME";8
"DECLINE";8
"DEMANDS";8
"DEPRESSED";8
"DISTRACTOR";8
"DISTRESS";8
"DUAL";8
"ELECTROMYOGRAPHY";8
"ELEVATED";8
"ELICITATION";8
"EMOTION-PROCESSING";8
"ESSENTIAL";8
"ESTIMATING";8
"EVOKED-RESPONSES";8
"EXECUTIVE-FUNCTION";8
"EXPERIMENT";8
"EXPLICIT";8
"EXTRAVERSION";8
"FEMALES";8
"FRONTAL-ASYMMETRY";8
"GAMBLING-TASK";8
"GAZE";8
"GENE";8
"GENERATORS";8
"GONO-GO";8
"HZ";8
"IDENTITY";8
"IMPACTS";8
"INCREASE";8
"INFERIOR";8
"INSULA";8
"INTENTIONAL";8
"INTERHEMISPHERIC";8
"INTERNAL";8
"INVOLVEMENT";8
"ISOMETRIC";8
"JUDGMENTS";8
"LATERAL";8
"LOSSES";8
"LOW-FREQUENCY";8
"MAPPING";8
"MATTER";8
"MECHANISM";8
"MEDIAL-FRONTAL";8
"MEMORY-CAPACITY";8
"MISMATCH-NEGATIVITY-MMN";8
"MMN";8
"MODALITY";8
"MODELS";8
"MULTIVARIATE";8
"NERVOUS-SYSTEM";8
"NEURAL-ACTIVITY";8
"NEURAL-MECHANISMS";8
"NORMALS";8
"OCULAR";8
"ODDBALL-TASK";8
"OPTICAL";8
"ORIENTATION";8
"ORTHOGRAPHIC";8
"P300-BASED";8
"PARAFOVEAL";8
"PAVLOVIAN";8
"PAVLOVIAN-CONDITIONING";8
"PERSPECTIVE";8
"PHOBIA";8
"PLANNING";8
"POLYMORPHISM";8
"PRACTICE";8
"PREATTENTIVE";8
"PRECEDING";8
"PREDICTIVE";8
"PREGNANCY";8
"PRELIMINARY";8
"PREPARATORY";8
"PRIMARY";8
"PRINCIPAL-COMPONENT-ANALYSIS";8
"PROCEDURES";8
"PSYCHOPATHIC-TRAITS";8
"PUPIL-DILATION";8
"PUPIL-SIZE";8
"QUANTITATIVE";8
"REACTIVE";8
"RECEPTOR";8
"RECORDED";8
"REFLEXES";8
"REGULATORY";8
"RELAXATION-TRAINING";8
"RELEVANT";8
"REPORTS";8
"RESOLUTION";8
"RETENTION";8
"REVERSAL";8
"RHYTHMS";8
"SACCADES";8
"SAFETY";8
"SENTENCES";8
"SERIAL";8
"SEXUAL";8
"SIMULATED";8
"SKIN";8
"SLOW-WAVE";8
"SLOWING";8
"SMOKERS";8
"SPINAL";8
"SPOKEN";8
"STARTLE-EYEBLINK";8
"STIMULUS-SIGNIFICANCE";8
"STRATEGIES";8
"STRENGTH";8
"STUDYING";8
"SUBSTANCE";8
"SUSTAINED-ATTENTION";8
"T-WAVE-AMPLITUDE";8
"TARGET-SELECTION";8
"TECHNIQUE";8
"THEORETICAL";8
"THERAPY";8
"THINKING";8
"THRESHOLD";8
"TOOL";8
"TOUCH";8
"TRACE";8
"TRAUMA";8
"VIDEO-GAME";8
"VIGILANCE-PERFORMANCE";8
"VISUAL-EVOKED-POTENTIALS";8
"WAVE";8
"WAVES";8
"WORD-RECOGNITION";8
"ABNORMALITIES";7
"ACUTE-EFFECTS";7
"AMPLITUDES";7
"ANTERIOR-CINGULATE";7
"ATTENTIONAL-MODULATION";7
"AUDITORY-STIMULATION";7
"BETA-ADRENERGIC";7
"BIOFEEDBACK-TRAINING";7
"BLOOD-PRESSURE-RESPONSES";7
"CARDIAC-DEFENSE";7
"CARDIAC-VAGAL-TONE";7
"CARDIOPULMONARY";7
"CARDIORESPIRATORY-FITNESS";7
"COLD-PRESSOR-TEST";7
"COMPARED";7
"COMPARISONS";7
"COMPATIBILITY";7
"CONSCIOUS";7
"CONTINUOUS-PERFORMANCE";7
"COORDINATION";7
"COPING";7
"CORONARY";7
"CORRELATIONS";7
"CROSSMODAL";7
"DECREASED";7
"DECREASES";7
"DENSITY";7
"DEPENDS";7
"DIFFERENTIAL-EFFECTS";7
"DIMENSIONAL";7
"DISCRIMINATIVE";7
"DISTANCE";7
"ECG";7
"EFFECTIVENESS";7
"ELDERLY";7
"ELECTROLYTE";7
"EMOTIONAL-AROUSAL";7
"EMOTIONAL-STIMULI";7
"ENDOGENOUS";7
"ENHANCES";7
"EVENT-RELATED-BRAIN-POTENTIAL-STUDY";7
"EXECUTION";7
"EXECUTIVE-CONTROL";7
"EXPECTANCIES";7
"EXPECTED";7
"EXPLORING";7
"EXPRESSIONS";7
"EXTERNALIZING-PSYCHOPATHOLOGY";7
"FEAR-LEARNING";7
"FEEDBACK-NEGATIVITY";7
"FEEL";7
"FLANKER-TASK";7
"FLEXIBILITY";7
"FOCUS";7
"FRN";7
"GENDER-DIFFERENCES";7
"GENERATION";7
"GLUCOSE";7
