"ERP";"CARDIOVASCULAR";"P300";"HEART-RATE";"ATTENTION";"HUMAN";"SLEEP";"VISUAL";"BEHAVIOR";"EEG";"AUDITORY";"BLOOD-PRESSURE";"STIMULUS";"MEMORY";"STRESS";"EMOTION";"SCENE";"AUTONOMIC";"METHOD";"STARTLE";"CARDIAC";"DETECTION";"FUNCTION";"CHILD";"INDEX";"PATTERN";"PERCEPTION";"AFFECT";"COGNITION";"COMPONENT";"ELECTROPHYSIOLOGICAL";"PATIENTS";"RECORDING";"ELECTRODERMAL";"FACIAL";"HYPERTENSION";"NORMAL";"RESPIRATORY";"ADULT";"BRAIN";"DEVELOPMENT";"PERFORMANCE";"EVALUATION";"INDIVIDUAL-DIFFERENCES";"LATENCY";"AMPLITUDE";"CONDITIONING";"MMN";"REACTION-TIME";"ANTICIPATION"
"AUDITORY";15;0;4;1;7;1;1;3;1;0;42;0;2;3;0;0;4;1;0;0;0;2;1;2;2;2;0;1;0;0;1;3;0;0;0;0;0;1;1;1;2;0;0;0;0;1;0;3;0;0
"BLOOD-PRESSURE";0;3;0;7;0;0;0;0;1;0;0;42;0;0;7;0;0;0;1;0;0;1;1;1;0;0;2;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0;1;1;0;0;0;0;0;0
"STIMULUS";6;1;5;1;1;2;0;0;0;0;2;0;41;0;0;0;1;0;0;0;1;0;0;0;2;1;0;0;0;3;1;1;0;2;0;0;0;0;0;1;1;2;2;0;1;2;0;1;0;3
"MEMORY";15;0;1;0;1;1;1;4;2;0;3;0;0;39;0;0;2;0;2;0;0;1;0;1;2;2;0;0;1;0;3;1;0;0;0;0;1;0;1;0;0;0;2;1;0;0;0;1;0;0
"STRESS";1;19;0;4;0;0;0;0;6;0;0;7;0;0;40;1;0;1;0;1;0;0;1;0;0;2;0;0;2;0;0;1;0;0;0;8;2;0;0;0;0;0;0;1;0;0;0;0;0;1
"EMOTION";0;1;0;0;3;1;0;1;1;1;0;0;0;0;1;38;0;2;1;4;0;0;0;2;0;1;2;4;1;1;1;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
"SCENE";4;0;4;0;1;0;0;0;0;1;4;0;1;2;0;0;37;0;0;0;1;1;2;0;1;0;0;1;0;0;1;8;0;1;0;0;3;0;1;0;0;0;0;0;0;3;0;0;0;1
"AUTONOMIC";1;1;0;5;0;1;0;0;3;1;1;0;0;0;1;2;0;36;0;3;1;0;1;2;1;2;0;1;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;3;0;0;3;0;1;0
"METHOD";2;2;1;0;1;1;0;0;1;2;0;1;0;2;0;1;0;0;34;0;0;3;0;0;1;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;2;1;3;0;0;0;0;0
"STARTLE";0;2;2;1;3;2;0;0;1;1;0;0;0;0;1;4;0;3;0;36;0;0;1;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;2
"CARDIAC";0;0;0;2;2;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;31;0;1;1;1;1;2;0;0;0;0;3;0;0;0;0;2;2;1;0;1;0;0;2;0;0;0;0;0;0
"DETECTION";4;0;1;1;3;1;1;1;1;0;2;1;0;1;0;0;1;0;3;0;0;30;0;1;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0
"FUNCTION";1;2;1;2;0;2;2;0;1;1;1;1;0;0;1;0;2;1;0;1;1;0;31;0;0;0;1;0;1;0;0;0;0;0;0;0;2;0;2;1;1;1;0;1;0;1;1;1;0;0
"CHILD";3;1;1;0;5;0;0;1;1;0;2;1;0;1;0;2;0;2;0;0;1;1;0;29;0;1;1;0;1;0;2;0;0;0;1;0;1;0;4;1;2;0;0;0;0;0;0;1;0;0
"INDEX";6;0;3;2;3;0;0;2;2;0;2;0;2;2;0;0;1;1;1;0;1;0;0;0;29;1;0;1;2;1;1;1;0;1;1;0;0;0;1;0;1;0;0;0;2;2;0;0;0;2
"PATTERN";4;8;0;0;2;2;1;2;1;1;2;0;1;2;2;1;0;2;0;0;1;0;0;1;1;29;0;0;0;0;0;0;0;0;0;1;1;2;0;2;0;0;0;1;0;0;0;0;0;0
"PERCEPTION";4;2;0;0;0;1;1;2;1;1;0;2;0;0;0;2;0;0;0;1;2;0;1;1;0;0;28;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;1
"AFFECT";1;1;2;0;0;0;0;0;1;0;1;0;0;0;0;4;1;1;0;4;0;0;0;0;1;0;1;27;1;0;0;0;0;0;3;1;0;0;0;2;0;1;0;0;1;1;0;0;0;1
"COGNITION";3;4;0;1;1;3;0;0;0;1;0;0;0;1;2;1;0;0;0;0;0;0;1;1;2;0;0;1;27;3;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0
"COMPONENT";10;2;1;1;0;2;0;1;0;1;0;0;3;0;0;1;0;2;0;0;0;0;0;0;1;0;0;0;3;27;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1
"ELECTROPHYSIOLOGICAL";0;0;0;0;0;1;0;3;2;0;1;0;1;3;0;1;1;0;1;0;0;0;0;2;1;0;0;0;0;1;27;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"PATIENTS";3;1;3;1;0;0;0;2;0;0;3;0;1;1;1;0;8;0;0;0;3;2;0;0;1;0;0;0;0;0;0;26;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
"RECORDING";1;0;1;0;0;3;3;0;1;3;0;1;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;1;0;0;0;25;2;2;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0
"ELECTRODERMAL";0;2;0;0;1;0;0;1;0;0;0;0;2;0;0;1;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;1;2;24;0;0;0;0;0;0;0;1;0;1;2;0;2;0;0;0
"FACIAL";0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;4;0;2;0;0;0;0;0;1;1;0;0;3;0;0;0;0;2;0;24;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0
"HYPERTENSION";0;13;0;3;0;0;0;0;5;0;0;2;0;0;8;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"NORMAL";3;0;0;0;3;3;3;1;2;1;0;1;0;1;2;0;3;0;0;0;2;0;2;1;0;1;0;0;0;0;1;1;1;0;0;0;24;2;1;1;0;0;1;0;0;0;0;0;0;0
"RESPIRATORY";0;1;0;3;0;1;3;0;1;0;1;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;2;22;0;0;0;0;0;0;0;0;0;0;0;0
"ADULT";6;0;4;0;3;2;0;1;0;1;1;0;0;1;0;0;1;0;0;0;1;0;2;4;1;0;0;0;1;0;0;0;0;0;0;0;1;0;23;0;3;0;0;1;1;0;0;1;1;0
"BRAIN";8;0;1;0;0;0;0;2;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;2;1;2;0;0;0;1;0;0;0;0;1;0;0;23;0;0;0;0;0;0;0;0;0;0
"DEVELOPMENT";4;0;2;1;2;0;0;1;1;0;2;0;1;0;0;0;0;0;0;1;1;0;1;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;23;1;0;0;0;0;0;0;0;0
"PERFORMANCE";4;0;1;1;1;0;4;1;0;2;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;23;1;0;2;0;0;0;0;0
"EVALUATION";3;4;2;0;0;0;1;0;0;0;0;1;2;2;0;0;0;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;22;0;2;0;0;0;1;0
"INDIVIDUAL-DIFFERENCES";2;2;2;2;0;0;1;0;1;0;0;1;0;1;1;0;0;3;1;0;2;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;22;0;0;1;0;0;0
"LATENCY";2;0;11;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;3;0;0;1;0;0;2;0;0;1;0;1;0;0;0;2;0;0;0;0;1;0;0;2;2;0;22;2;0;0;2;0
"AMPLITUDE";2;0;11;0;0;1;0;1;0;0;1;0;2;0;0;0;3;0;0;0;0;0;1;0;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;21;1;0;1;1
"CONDITIONING";0;0;0;1;0;6;0;0;0;0;0;0;0;0;0;4;0;3;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;1;0;1;19;0;0;0
"MMN";3;0;0;0;4;1;0;0;0;0;3;0;1;1;0;0;0;0;0;0;0;2;1;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;20;0;0
"REACTION-TIME";2;0;3;3;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;1;0;0;21;1
"ANTICIPATION";1;0;0;4;1;2;0;1;0;0;0;0;3;0;1;0;1;0;0;2;0;0;0;0;2;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;20
