"ERP";"ATTENTION";"EMOTION";"ELECTROPHYSIOLOGICAL";"AUDITORY";"PERCEPTION";"CARDIOVASCULAR";"P300";"NEURAL";"VISUAL";"MEMORY";"STRESS";"BEHAVIOR";"STARTLE";"MMN";"COGNITION";"SCENE";"ADULT";"EEG";"ERROR";"DETECTION";"HUMAN";"FUNCTION";"INCREASE";"AFFECT";"AMPLITUDE";"CUE";"CHILD";"PERFORMANCE";"BRAIN";"CARDIAC";"COMPONENT";"SOUND";"TIME";"ADOLESCENT";"CORTEX";"DEPRESSION";"MECHANISM";"ACTIVATION";"CONTEXT";"FEAR";"HEALTHY";"REDUCE";"SENSITIVITY";"AGE";"IMPACT";"INHIBITION";"PARADIGM";"PREPULSE-INHIBITION";"CONTROL"
"BRAIN";1;1;3;1;2;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;1;0;0;3;1;22;0;0;0;0;0;0;1;0;2;0;0;1;0;0;0;1;0;0;0;0
"CARDIAC";0;1;1;0;0;1;0;0;1;0;1;2;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;22;0;0;1;0;2;1;0;0;0;1;0;1;6;0;0;1;0;0;0
"COMPONENT";8;1;0;0;1;1;0;3;1;3;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;21;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0
"SOUND";8;1;0;0;3;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;2;0;0;0;2;21;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;1
"TIME";4;1;2;0;1;1;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;22;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0;0
"ADOLESCENT";3;0;0;1;0;1;4;6;2;0;0;3;2;0;0;0;0;5;0;0;0;0;0;0;0;6;0;3;0;0;0;0;0;0;21;0;2;0;0;0;0;0;1;1;2;0;0;0;0;0
"CORTEX";3;3;1;1;0;0;0;0;0;2;1;0;1;0;0;1;0;0;0;0;0;0;1;0;2;0;0;0;1;0;2;0;1;0;0;21;0;0;1;0;2;0;0;0;0;0;2;0;0;1
"DEPRESSION";2;0;1;1;0;0;0;1;1;0;0;3;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;1;1;1;1;0;0;0;2;0;21;0;0;0;0;0;1;0;0;0;0;0;0;0
"MECHANISM";3;1;0;2;1;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;2;0;0;0;21;0;0;1;1;0;0;1;0;0;0;0;2
"ACTIVATION";1;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0;1;2;0;1;0;0;0;1;0;0;20;0;0;0;0;0;0;0;0;0;0;0
"CONTEXT";6;1;0;3;0;0;0;0;1;1;1;1;1;0;0;1;1;0;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;2;2;0;0;0;1
"FEAR";2;4;1;1;0;0;0;0;0;1;2;0;0;2;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;0;0;0;0;2;0;1;0;0;19;0;0;1;0;0;0;1;0;0
"HEALTHY";1;1;0;0;0;1;0;0;0;0;1;3;1;1;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;20;2;0;0;0;0;0;2;1
"REDUCE";1;1;0;0;0;0;0;5;0;1;0;0;0;0;0;1;1;1;1;1;0;0;0;1;0;4;0;0;2;0;1;0;0;1;1;0;1;0;0;0;0;2;20;1;1;0;0;0;1;0
"SENSITIVITY";2;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;0;0;6;1;0;1;1;0;0;0;0;0;1;0;1;20;1;0;0;0;0;0
"AGE";3;1;1;1;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;2;0;0;1;0;2;0;0;1;1;18;1;0;0;0;0
"IMPACT";1;1;4;1;0;4;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;19;1;0;1;1
"INHIBITION";3;1;1;1;0;0;0;1;1;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;1;19;1;0;0
"PARADIGM";7;2;2;0;2;1;1;0;1;0;0;0;1;1;1;0;0;0;0;0;1;2;0;0;1;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;19;0;0
"PREPULSE-INHIBITION";0;1;0;0;0;0;0;0;0;1;0;0;0;6;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;19;1
"CONTROL";4;3;0;0;0;1;2;0;1;1;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2;0;1;0;1;0;0;0;1;0;0;1;18
