"ERP";"CARDIOVASCULAR";"ATTENTION";"P300";"HUMAN";"HEART-RATE";"MEMORY";"VISUAL";"SCENE";"AUDITORY";"STARTLE";"EMOTION";"EEG";"CHILD";"ELECTROPHYSIOLOGICAL";"STIMULUS";"AUTONOMIC";"BRAIN";"INDEX";"AFFECT";"BLOOD-PRESSURE";"METHOD";"MMN";"PERCEPTION";"STRESS";"DEVELOPMENT";"PATTERN";"SLEEP";"BEHAVIOR";"PATIENTS";"ADULT";"CONTROL";"AMPLITUDE";"ANTICIPATION";"CARDIAC";"CONTEXT";"DIFFERENCE";"INDIVIDUAL";"PROBE";"RESPIRATORY";"SIGNAL";"TEMPORAL";"WORD";"AGE";"COMPLEX";"DETECTION";"NORMAL";"PAIN";"SACCADE";"ACTIVATION"
"BLOOD-PRESSURE";0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;4;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
"METHOD";1;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0
"MMN";1;0;3;0;1;0;1;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;16;1;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;0;2;0;0;0;2;0;0;0;0
"PERCEPTION";3;1;0;0;1;0;0;2;0;0;1;2;0;1;0;0;0;1;0;1;0;0;1;17;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;1
"STRESS";1;5;0;0;0;2;0;0;0;0;1;1;0;0;0;0;1;0;0;0;4;0;0;0;17;0;0;0;2;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
"DEVELOPMENT";3;0;2;0;0;1;0;0;0;1;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;16;0;0;1;0;3;0;0;0;1;0;1;1;0;0;0;0;1;1;0;0;0;1;0;0
"PATTERN";4;2;2;0;2;0;2;2;0;2;0;1;0;1;0;1;1;2;1;0;0;0;0;0;0;0;16;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;1;0;0;0;0;0;0;2
"SLEEP";1;0;1;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
"BEHAVIOR";3;1;0;0;0;1;1;0;0;1;1;1;0;1;2;0;2;0;1;0;1;0;0;1;2;1;0;0;15;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1
"PATIENTS";3;1;0;2;0;1;1;1;7;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;15;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;1;1;0
"ADULT";4;0;2;4;0;0;1;0;1;1;0;0;0;2;0;0;0;0;1;0;0;0;1;0;0;3;0;0;0;0;14;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"CONTROL";3;1;3;0;0;3;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;14;0;0;0;0;2;0;1;0;0;0;0;0;0;0;1;1;0;0
"AMPLITUDE";1;0;0;8;1;0;0;1;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0
"ANTICIPATION";1;0;1;0;1;2;0;1;1;0;2;0;0;0;1;2;0;0;2;1;0;0;0;1;1;0;0;0;0;0;0;0;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
"CARDIAC";0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;13;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0
"CONTEXT";5;0;0;0;2;1;1;0;0;0;0;2;0;0;0;2;1;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DIFFERENCE";3;0;1;0;0;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;1;2;0;0;1;0;0;1;0;0;2;0;0;0;0;12;0;1;0;0;0;0;0;0;0;1;0;0;0
"INDIVIDUAL";1;1;0;0;0;2;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;1;0;0;0;0;0;0
"PROBE";2;0;2;1;0;0;0;1;0;0;5;3;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;12;0;0;0;0;0;0;0;1;0;0;1
"RESPIRATORY";0;0;0;0;1;3;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0
"SIGNAL";0;0;0;0;2;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;1;0;0;0;0
"TEMPORAL";2;2;0;0;2;0;3;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0
"WORD";2;0;0;0;0;0;1;3;0;0;0;0;2;1;1;0;0;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;1;0;0
"AGE";2;1;0;0;0;1;0;0;0;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;11;0;0;0;0;0;0
"COMPLEX";4;1;1;2;0;0;0;0;0;0;1;0;2;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0
"DETECTION";1;0;1;0;0;0;1;1;1;2;0;0;0;1;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;12;0;0;0;1
"NORMAL";2;0;2;0;1;0;1;0;2;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;12;1;1;0
"PAIN";1;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;11;0;0
"SACCADE";0;0;0;0;0;0;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;10;0
"ACTIVATION";0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;2;0;2;0;0;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;11
