"ERP";"CARDIOVASCULAR";"SLEEP";"P300";"BEHAVIOR";"HEART-RATE";"BLOOD-PRESSURE";"STRESS";"HUMAN";"STIMULUS";"FUNCTION";"ATTENTION";"DETECTION";"CARDIAC";"COMPONENT";"EEG";"METHOD";"VISUAL";"COGNITION";"AUTONOMIC";"ELECTRODERMAL";"PERFORMANCE";"RECORDING";"AUDITORY";"FACIAL";"HYPERTENSION";"INDIVIDUAL-DIFFERENCES";"LATENCY";"PATTERN";"EMOTION";"EXERCISE";"HABITUATION";"NORMAL";"TYPE-A";"ANXIETY";"CONDITIONING";"EMG";"EVALUATION";"MENTAL-ARITHMETIC";"MONITORING";"PATIENTS";"PERCEPTION";"REACTION-TIME";"REM";"RESPIRATORY";"RSA";"SELECTIVE-ATTENTION";"TONE";"CHANGE";"LATERAL"
"PATIENTS";0;0;0;1;0;0;0;0;0;1;0;0;1;2;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;11;0;0;0;0;0;0;0;0;0
"PERCEPTION";1;1;1;0;0;0;2;0;0;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;11;0;0;0;0;1;0;0;0
"REACTION-TIME";2;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;11;0;0;0;0;0;0;0
"REM";0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;10;0;0;0;0;0;0
"RESPIRATORY";0;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;1;1;0;0;0;0;11;2;0;0;0;0
"RSA";0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;11;0;1;0;0
"SELECTIVE-ATTENTION";5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;11;0;0;1
"TONE";2;0;1;1;3;1;0;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;9;1;0
"CHANGE";2;2;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;10;0
"LATERAL";1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;10
