"ERP";"EMOTION";"NEURAL";"ATTENTION";"ELECTROPHYSIOLOGICAL";"BEHAVIOR";"EEG";"PERCEPTION";"VISUAL";"MEMORY";"AUDITORY";"ADULT";"CARDIOVASCULAR";"STRESS";"COGNITION";"P300";"BRAIN";"AFFECT";"THREAT";"ADOLESCENT";"LEARNING";"CONTEXT";"DEPRESSION";"STARTLE";"INCREASE";"HUMAN";"REDUCE";"CHILD";"DETECTION";"IMPACT";"SOCIAL";"COMPONENT";"ERROR";"PERFORMANCE";"CARDIAC";"FEAR";"ANXIETY";"SCENE";"CORTEX";"CUE";"INHIBITION";"TIME";"FUNCTION";"DYNAMIC";"MECHANISM";"MODEL";"PAIN";"REWARD";"CONTROL";"MOTOR"
"ADULT";5;8;7;3;3;4;5;2;1;4;1;89;5;5;5;6;2;0;0;12;2;1;6;1;3;1;3;10;0;1;2;0;1;1;1;0;0;1;1;1;1;1;4;1;1;0;1;1;1;0
"CARDIOVASCULAR";0;2;0;0;0;2;0;2;0;1;0;5;87;7;4;0;1;5;5;4;0;2;2;0;2;0;1;1;0;4;2;0;0;5;0;0;2;0;1;0;0;1;1;1;1;2;1;0;3;0
"STRESS";2;2;5;0;0;2;0;3;1;0;0;5;7;83;3;0;0;0;1;6;3;1;4;0;1;0;1;0;0;3;2;0;1;3;5;2;1;0;0;1;0;0;3;1;0;1;0;0;1;0
"COGNITION";10;5;8;1;0;1;3;1;1;3;2;5;4;3;80;1;2;2;2;0;1;2;1;0;1;2;2;0;0;2;3;0;0;1;3;1;2;2;2;1;1;1;7;0;2;0;0;2;4;2
"P300";11;1;1;0;0;1;1;1;3;3;2;6;0;0;1;81;2;1;0;8;0;1;4;2;2;2;9;0;8;1;0;6;0;0;0;0;0;1;0;2;1;0;1;0;1;0;0;0;0;1
"BRAIN";2;6;3;2;1;2;1;4;4;4;3;2;1;0;2;2;80;1;1;2;1;1;2;1;0;1;2;5;2;2;0;0;0;1;0;2;3;1;1;1;0;0;1;3;2;0;1;1;2;2
"AFFECT";9;8;3;4;0;2;3;6;3;1;1;0;5;0;2;1;1;74;1;1;1;3;1;5;0;1;2;0;1;2;4;0;1;1;2;2;0;1;4;0;1;0;1;3;0;2;3;1;1;1
"THREAT";6;1;8;8;1;0;1;1;0;1;0;0;5;1;2;0;1;1;64;5;1;2;0;5;3;2;0;0;3;1;4;0;1;1;1;2;3;0;0;1;0;2;0;2;3;2;1;2;1;2
"ADOLESCENT";6;6;8;0;1;7;0;2;0;1;0;12;4;6;0;8;2;1;5;67;0;0;5;2;2;0;2;8;0;1;4;0;1;0;2;0;1;0;1;0;0;0;1;1;0;1;1;2;1;1
"LEARNING";9;0;3;3;2;0;3;2;3;2;0;2;0;3;1;0;1;1;1;0;65;0;1;0;0;2;1;0;0;3;0;0;2;4;1;4;1;0;2;0;0;1;0;0;0;0;2;4;0;4
"CONTEXT";12;5;7;4;4;3;1;0;3;5;1;1;2;1;2;1;1;3;2;0;0;65;1;0;2;3;1;0;0;4;4;0;0;0;1;0;1;2;0;4;0;1;0;0;2;0;1;2;2;1
"DEPRESSION";3;4;6;0;2;3;3;0;0;2;0;6;2;4;1;4;2;1;0;5;1;1;66;1;2;0;5;3;2;2;0;0;0;1;1;0;6;0;0;1;0;0;1;3;1;1;2;6;1;0
"STARTLE";3;6;1;3;0;0;0;4;0;1;3;1;0;0;0;2;1;5;5;2;0;0;1;62;0;4;0;1;0;0;0;2;0;0;1;4;2;0;0;1;2;1;0;0;0;1;0;2;0;0
"INCREASE";6;5;4;0;1;2;0;3;3;2;0;3;2;1;1;2;0;0;3;2;0;2;2;0;64;0;5;1;1;0;1;0;1;2;1;3;2;0;1;3;1;2;3;1;0;0;0;2;1;2
"HUMAN";6;1;4;1;5;1;3;1;0;3;6;1;0;0;2;2;1;1;2;0;2;3;0;4;0;61;0;0;3;1;2;1;0;0;0;3;0;0;1;2;0;1;2;1;1;3;0;0;0;1
"REDUCE";4;2;2;3;0;1;3;1;3;2;1;3;1;1;2;9;2;2;0;2;1;1;5;0;5;0;60;0;0;2;0;0;2;4;1;3;5;1;0;0;0;1;0;0;0;0;2;2;1;0
"CHILD";7;2;2;1;4;3;1;1;1;1;2;10;1;0;0;0;5;0;0;8;0;0;3;1;1;0;0;58;1;1;1;1;2;5;2;0;2;0;1;0;1;2;0;0;0;1;1;2;0;2
"DETECTION";11;0;4;5;2;2;2;0;2;4;1;0;0;0;0;8;2;1;3;0;0;0;2;0;1;3;0;1;55;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"IMPACT";4;6;2;2;2;4;4;5;3;2;0;1;4;3;2;1;2;2;1;1;3;4;2;0;0;1;2;1;0;56;0;1;1;0;1;1;2;1;0;0;1;0;2;2;0;2;2;0;3;0
"SOCIAL";6;4;7;2;3;5;0;4;1;1;0;2;2;2;3;0;0;4;4;4;0;4;0;0;1;2;0;1;0;0;54;0;0;1;1;0;0;0;1;4;0;1;2;1;3;1;2;0;1;1
"COMPONENT";14;0;1;3;2;1;7;2;3;0;3;0;0;0;0;6;0;0;0;0;0;0;0;2;0;1;0;1;0;1;0;53;0;0;0;0;1;0;0;0;2;0;1;0;0;1;1;1;0;0
"ERROR";10;0;2;2;3;2;0;0;0;2;0;1;0;1;0;0;0;1;1;1;2;0;0;0;1;0;2;2;1;1;0;0;51;3;0;0;1;0;0;0;0;0;1;2;0;0;0;1;3;2
"PERFORMANCE";4;1;2;4;3;4;1;2;1;2;2;1;5;3;1;0;1;1;1;0;4;0;1;0;2;0;4;5;1;0;1;0;3;54;1;0;2;1;1;0;1;0;2;1;3;1;1;2;1;5
"CARDIAC";0;4;2;2;0;1;1;2;0;1;0;1;0;5;3;0;0;2;1;2;1;1;1;1;1;0;1;2;0;1;1;0;0;1;53;1;0;0;3;1;2;1;2;0;0;1;2;0;0;0
"FEAR";4;3;3;5;1;1;0;3;3;2;0;0;0;2;1;0;2;2;2;0;4;0;0;4;3;3;3;0;0;1;0;0;0;0;1;51;5;0;2;0;0;0;0;1;1;0;0;0;0;1
"ANXIETY";3;5;1;1;0;1;0;2;1;2;0;0;2;1;2;0;3;0;3;1;1;1;6;2;2;0;5;2;0;2;0;1;1;2;0;5;47;1;0;0;0;1;0;0;0;1;1;0;2;1
"SCENE";6;7;5;5;2;0;2;3;0;2;6;1;0;0;2;1;1;1;0;0;0;2;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;52;0;0;0;1;2;0;2;1;0;0;1;0
"CORTEX";4;2;1;5;3;1;3;0;6;1;0;1;1;0;2;0;1;4;0;1;2;0;0;0;1;1;0;1;0;0;1;0;0;1;3;2;0;0;51;0;2;0;4;4;0;0;0;0;2;2
"CUE";9;4;4;5;1;0;2;3;2;0;1;1;0;1;1;2;1;0;1;0;0;4;1;1;3;2;0;0;1;0;4;0;0;0;1;0;0;0;0;47;1;0;0;1;1;0;0;1;0;0
"INHIBITION";5;3;1;3;3;1;4;0;1;2;1;1;0;0;1;1;0;1;0;0;0;0;0;2;1;0;0;1;0;1;0;2;0;1;2;0;0;0;2;1;50;0;1;0;1;0;1;1;0;4
"TIME";8;3;3;1;1;2;2;3;1;0;1;1;1;0;1;0;0;0;2;0;1;1;0;1;2;1;1;2;0;0;1;0;0;0;1;0;1;1;0;0;0;50;1;1;3;1;1;1;0;0
"FUNCTION";5;4;1;0;0;1;1;0;0;4;0;4;1;3;7;1;1;1;0;1;0;0;1;0;3;2;0;0;0;2;2;1;1;2;2;0;0;2;4;0;1;1;49;1;0;1;0;0;0;2
"DYNAMIC";4;4;1;3;2;3;2;0;3;0;0;1;1;1;0;0;3;3;2;1;0;0;3;0;1;1;0;0;0;2;1;0;2;1;0;1;0;0;4;1;0;1;1;47;1;4;0;1;0;1
"MECHANISM";4;0;6;2;4;2;0;2;1;2;1;1;1;0;2;1;2;0;3;0;0;2;1;0;0;1;0;0;0;0;3;0;0;3;0;1;0;2;0;1;1;3;0;1;47;1;0;2;2;0
"MODEL";8;0;5;1;3;2;1;1;1;0;1;0;2;1;0;0;0;2;2;1;0;0;1;1;0;3;0;1;1;2;1;1;0;1;1;0;1;1;0;0;0;1;1;4;1;46;1;0;4;1
"PAIN";1;2;2;1;2;1;3;3;0;0;0;1;1;0;0;0;1;3;1;1;2;1;2;0;0;0;2;1;0;2;2;1;0;1;2;0;1;0;0;0;1;1;0;0;0;1;41;0;0;0
"REWARD";5;2;13;1;4;3;0;0;1;2;0;1;0;0;2;0;1;1;2;2;4;2;6;2;2;0;2;2;0;0;0;1;1;2;0;0;0;0;0;1;1;1;0;1;2;0;0;46;1;1
"CONTROL";6;1;4;7;2;2;2;3;2;1;1;1;3;1;4;0;2;1;1;1;0;2;1;0;1;0;1;0;0;3;1;0;3;1;0;0;2;1;2;0;0;0;0;0;2;4;0;1;46;5
"MOTOR";4;1;2;2;2;2;3;1;4;1;1;0;0;0;2;1;2;1;2;1;4;1;0;0;2;1;0;2;0;0;1;0;2;5;0;1;1;0;2;0;4;0;2;1;0;1;0;1;5;44
