"HEART-RATE";"SLEEP";"CONDITIONING";"EEG";"SCR";"AUTONOMIC";"FUNCTION";"CARDIAC";"FEEDBACK";"ELECTRODERMAL";"HABITUATION";"HUMAN";"STIMULUS";"ORIENTING-RESPONSE";"RECORDING";"CONTROL";"PERFORMANCE";"REACTION-TIME";"BLOOD-PRESSURE";"VISUAL";"AUDITORY";"CARDIOVASCULAR";"EVOKED";"LEVEL";"PATTERN";"BIOFEEDBACK";"COGNITION";"DETECTION";"SKIN-CONDUCTANCE";"EVOKED-POTENTIAL";"BEHAVIOR";"CHILD";"PERCEPTION";"RESPIRATORY";"STRESS";"COMPONENT";"RAT";"REM";"AROUSAL";"CORTEX";"EYE-MOVEMENT";"INTERVAL";"TECHNIQUE";"ALPHA";"DIFFERENTIAL";"METHOD";"PERIOD";"SIGNAL";"SKIN-RESISTANCE";"ANXIETY"
"PERFORMANCE";1;5;0;2;1;3;7;3;2;1;0;2;0;0;1;0;37;6;1;0;0;2;0;1;0;0;1;0;0;0;1;0;1;1;3;0;0;1;1;0;0;3;1;0;1;0;0;0;0;2
"REACTION-TIME";12;0;1;1;1;1;2;4;1;0;1;1;1;0;0;0;6;36;1;0;1;2;0;0;0;1;0;0;2;1;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;1;2;2;0
"BLOOD-PRESSURE";5;0;2;0;0;0;2;0;6;0;0;1;0;0;1;3;1;1;35;0;0;0;0;1;2;3;0;0;0;0;1;0;0;0;1;0;2;0;0;0;0;1;1;0;0;1;0;1;0;0
"VISUAL";1;3;0;4;1;2;3;1;3;1;1;1;2;0;0;0;0;0;0;33;5;0;3;0;0;1;0;0;0;3;1;2;1;2;0;0;0;1;0;4;3;0;0;0;1;1;1;0;0;0
"AUDITORY";5;3;1;2;1;0;1;2;3;2;2;1;1;1;0;1;0;1;0;5;33;0;2;0;0;1;0;0;0;2;1;1;0;1;0;0;0;0;0;1;0;1;0;1;1;0;1;2;0;1
"CARDIOVASCULAR";3;0;2;0;0;0;2;0;2;3;0;0;0;0;0;3;2;2;0;0;0;32;0;0;0;0;2;1;1;0;1;0;0;2;3;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0
"EVOKED";0;1;1;1;1;0;2;0;0;0;0;1;2;0;0;1;0;0;0;3;2;0;30;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;5;0;0;0;0;0;0;1;3;0;0
"LEVEL";2;1;0;0;0;0;5;1;0;3;1;1;0;0;0;0;1;0;1;0;0;0;0;29;1;1;1;1;3;0;0;0;2;0;0;0;1;0;5;0;0;0;0;1;0;0;1;1;1;2
"PATTERN";0;6;1;6;1;3;0;1;1;0;0;0;0;0;1;1;0;0;2;0;0;0;0;1;29;1;1;0;0;0;1;0;0;1;0;0;1;1;1;0;2;0;0;0;0;0;0;1;2;0
"BIOFEEDBACK";6;0;0;1;0;2;1;1;6;0;0;0;0;0;0;2;0;1;3;1;1;0;0;1;1;28;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;2;2;1;1;0;0;0;1
"COGNITION";4;1;2;2;0;0;2;2;0;2;0;0;0;0;1;0;1;0;0;0;0;2;0;1;1;1;27;0;2;0;0;2;1;0;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"DETECTION";3;1;0;0;3;0;2;1;2;2;1;0;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;26;0;0;0;0;0;0;0;1;0;0;1;0;1;0;2;1;1;1;1;2;0;0
"SKIN-CONDUCTANCE";9;0;1;0;0;0;3;0;0;0;1;1;0;0;0;0;0;2;0;0;0;1;0;3;0;0;2;0;27;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1
"EVOKED-POTENTIAL";1;0;2;0;0;0;3;0;0;0;1;1;1;1;0;0;0;1;0;3;2;0;0;0;0;0;0;0;0;26;1;2;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0
"BEHAVIOR";1;1;2;1;0;4;1;0;2;1;1;2;0;0;2;0;1;0;1;1;1;1;0;0;1;0;0;0;0;1;25;2;1;0;1;3;1;0;1;0;0;1;0;0;0;0;0;0;0;0
"CHILD";1;0;1;0;0;1;0;4;0;2;0;0;0;0;1;1;0;2;0;2;1;0;2;0;0;0;2;0;1;2;2;25;1;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0
"PERCEPTION";3;0;2;0;1;1;2;3;0;1;0;0;1;0;0;0;1;0;0;1;0;0;4;2;0;0;1;0;1;0;1;1;25;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"RESPIRATORY";5;1;1;0;0;1;3;1;1;0;0;0;0;1;1;1;1;0;0;2;1;2;0;0;1;1;0;0;0;0;0;1;0;25;4;2;3;0;0;0;1;0;1;0;0;0;0;0;0;1
"STRESS";2;2;0;0;0;2;4;1;2;1;0;2;0;1;0;0;3;0;1;0;0;3;0;0;0;0;2;0;1;0;1;0;0;4;25;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0
"COMPONENT";0;0;2;0;3;3;1;2;1;1;1;2;0;6;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;3;0;0;2;1;24;0;0;1;0;0;1;0;0;1;0;0;0;0;0
"RAT";7;0;4;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;1;0;0;0;0;0;1;0;0;3;0;0;24;0;0;0;0;0;2;0;0;0;0;0;0;0
"REM";0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;23;0;0;4;0;0;0;0;0;3;0;0;0
"AROUSAL";1;2;0;2;2;1;3;1;0;1;3;0;0;0;0;0;1;0;0;0;0;0;0;5;1;1;0;1;0;1;1;0;0;0;0;1;0;0;23;0;0;0;0;1;0;0;0;1;0;0
"CORTEX";0;0;1;0;0;0;3;1;0;1;2;0;3;1;0;1;0;2;0;4;1;0;5;0;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0;23;0;0;0;0;0;0;1;0;0;0
"EYE-MOVEMENT";1;8;0;1;0;1;0;0;0;0;0;0;0;0;5;0;0;0;0;3;0;0;0;0;2;0;0;1;0;0;0;0;0;1;1;0;0;4;0;0;22;0;1;2;1;1;1;0;0;0
"INTERVAL";0;1;3;2;2;0;4;2;0;0;0;3;0;1;1;0;3;2;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;22;0;0;0;0;2;0;0;0
"TECHNIQUE";1;3;0;2;0;1;0;1;3;0;0;1;0;0;3;1;1;0;1;0;0;1;0;0;0;2;0;2;0;0;0;0;0;1;1;0;2;0;0;0;1;0;23;0;0;0;0;0;0;0
"ALPHA";2;0;1;2;0;0;2;0;5;0;0;0;0;0;0;4;0;0;0;0;1;0;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;22;0;0;0;0;0;0
"DIFFERENTIAL";2;0;5;1;3;4;0;1;0;2;0;1;2;1;1;1;1;0;0;1;1;0;0;0;0;1;1;1;0;0;0;2;0;0;0;1;0;0;0;0;1;0;0;0;22;0;0;2;0;0
"METHOD";2;1;2;3;0;0;1;2;1;1;0;0;0;0;3;1;0;0;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;22;1;1;1;0
"PERIOD";4;1;0;7;1;0;3;4;0;0;0;1;1;0;1;0;0;1;0;1;1;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;3;0;1;1;2;0;0;0;1;22;0;0;0
"SIGNAL";3;0;0;0;1;1;0;2;0;0;0;1;0;1;0;1;0;2;1;0;2;1;3;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;0;21;1;1
"SKIN-RESISTANCE";2;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;22;0
"ANXIETY";3;0;0;0;1;1;0;2;1;0;2;0;0;0;0;2;2;0;0;0;1;0;0;2;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;20
