"HEART-RATE";"SLEEP";"EEG";"FEEDBACK";"FUNCTION";"ELECTRODERMAL";"AUTONOMIC";"CARDIAC";"CONDITIONING";"HABITUATION";"BLOOD-PRESSURE";"BIOFEEDBACK";"CARDIOVASCULAR";"STIMULUS";"CONTROL";"PERFORMANCE";"RECORDING";"EVOKED-POTENTIAL";"ORIENTING-RESPONSE";"VISUAL";"AUDITORY";"HUMAN";"ERP";"SCR";"STRESS";"EVOKED";"PERCEPTION";"DETECTION";"REACTION-TIME";"REM";"RESPIRATORY";"BEHAVIOR";"PATTERN";"SKIN-CONDUCTANCE";"ANXIETY";"CHANGE";"COGNITION";"COMPONENT";"DIFFERENCE";"EDA";"P300";"TRAINING";"AMPLITUDE";"CHILD";"CORTEX";"LATERAL";"RAT";"RECOVERY";"STIMULUS-INTENSITY";"TECHNIQUE"
"REM";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;16;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"RESPIRATORY";4;1;0;1;3;0;1;1;0;0;0;1;2;0;0;1;1;0;0;1;0;0;0;0;4;0;0;0;0;0;16;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1
"BEHAVIOR";0;1;1;1;1;0;2;0;0;1;0;0;1;0;0;1;2;1;0;1;0;2;1;0;1;0;1;0;0;0;0;15;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;0;0;0
"PATTERN";0;1;3;1;0;0;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;15;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0
"SKIN-CONDUCTANCE";4;0;0;0;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;15;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"ANXIETY";2;0;0;1;0;0;1;1;0;1;0;1;0;0;2;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CHANGE";4;0;0;2;0;2;1;0;0;0;4;0;1;0;0;0;1;0;2;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;13;0;2;0;0;0;1;1;0;0;0;0;0;0;0
"COGNITION";2;1;1;0;1;1;0;0;1;0;0;1;2;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;1;0;0;0;14;0;2;0;0;0;0;0;0;1;0;0;0;0
"COMPONENT";0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;3;0;0;2;1;1;1;0;0;1;0;0;1;1;0;0;0;2;0;14;0;0;0;1;1;0;0;0;0;0;0;0
"DIFFERENCE";0;1;2;1;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;2;0;12;0;1;0;0;0;0;1;0;1;0;0
"EDA";2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;14;0;0;0;1;0;0;0;0;1;0
"P300";0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;1;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;14;0;0;0;0;0;0;0;0;0
"TRAINING";1;0;1;3;1;0;1;1;0;0;2;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;13;2;0;0;0;0;0;1;0
"AMPLITUDE";0;0;0;0;1;2;1;0;0;3;0;0;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;2;13;0;0;0;0;0;1;0
"CHILD";0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;1;0;0;2;0;0;2;0;0;0;0;0;0;0;1;0;0;0;13;0;0;0;0;0;0
"CORTEX";0;0;0;0;3;1;0;1;0;1;0;0;0;1;1;0;0;3;1;2;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;1;1;0
"LATERAL";0;0;2;0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;13;0;0;0;0
"RAT";4;0;0;0;1;0;0;1;4;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1;0;0
"RECOVERY";0;2;0;0;2;4;0;0;1;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;13;0;0
"STIMULUS-INTENSITY";0;1;0;0;3;0;0;0;0;3;0;0;1;0;1;0;0;1;2;0;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;13;0
"TECHNIQUE";0;1;2;2;0;0;1;0;0;0;1;2;1;0;1;1;2;0;0;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
